folder,filename,stt_transcription,llm_response,timestamp,tts_file_path,reference_text,wer_score,cer_score
A,2301_audio12.wav,bagaimana proses visa Saudi untuk umroh dari Indonesia sekarang,"Sekarang more flexible, ya! Ada several options: 1. **Umrah Visa** via travel agent. 2. **Tourist Visa (e-Visa)** for faster process. 3. **Transit Visa** if you have a stopover via Saudia/Flynas. Don't forget check the **Nusuk app** for permit. *Barakallahu feek!*",2026-05-20T20:05:14.590250,data/results_tts/res_2301_audio12.wav,Bagaimana proses visa Saudi untuk umrah dari Indonesia sekarang,0.1111,0.0159
A,2301_audio14.wav,How to prepare dokumen umroh dari Indonesia dengan benar,"*Alright, ya akhi/ukhti!* For your *persiapan* dokumen, please check these: 1. **Passport**: Make sure *masih valid* at least 6 months. 2. **Visa**: Processed by your *travel agent*. 3. **Vaccination**: Get your *Tath'im* (Meningitis/COVID) and the *Yellow Book*. 4. **Photos**: 4x6, background white, *wajah harus clear*. 5. **Identity**: KTP & KK *untuk data pendukung*. *Barakallahu feek!* Safe travels! ✈️🕋",2026-05-20T20:05:46.858030,data/results_tts/res_2301_audio14.wav,How to prepare dokumen umrah dari Indonesia dengan benar,0.1111,0.0179
A,2301_audio15.wav,Tolong buat checklist persiapan umroh termasuk barang wajib di bawah,"Bismillah, here is your *checklist* persiapan Umroh. Keep it simple! 🕋✨ **1. Documents (Al-Waraqat):** *   Passport & Visa (Valid!). *   Vaccine Certificate. *   Ticket & Hotel Voucher. **2. Clothing (Al-Malabis):** *   Kain Ihram (for men) / Mukena & Abaya (for women). *   Underwear & socks (bring extra). *   Comfortable shoes/sandals for *Tawaf* & *Sa'i*. *   Jaket/sweater (weather can be cold). **3. Health & Toiletries (As-Sihha):** *   Personal medicines & vitamins. *   Skincare (unscented/non-perfume for *Ihram*). *   Mask & Hand sanitizer. *   Travel-size toiletries. **4. Electronics & Others:** *   Universal adapter & Powerbank. *   Roaming data/Local SIM card. *   *Sajadah* travel & small *Al-Qur'an/Duas book*. Safe flight and *Umrah Maqbula*, InsyaAllah! 🤲✈️",2026-05-20T20:06:19.594388,data/results_tts/res_2301_audio15.wav,Tolong buat checklist persiapan umrah termasuk barang wajib dibawa,0.3333,0.0455
A,2301_audio2.wav,Aku butuh travel umur simpel tapi inklud madinah fisik,"Siap, *let me help you find* paket yang simple tapi *complete* ziarah Madinah-nya. *InsyaAllah* ada yang *fit* buat kamu. *Tafaddal*, mau budget kisaran berapa?",2026-05-20T20:06:45.837810,data/results_tts/res_2301_audio2.wav,Aku butuh travel umrah simple tapi include Madinah visit,0.4444,0.1607
A,2301_audio3.wav,bisa bantu aku menghargai transport dari Jedah ke Madina?,"Sure, I can help! Ada several options, ya: 1. **Haramain Train**: Around 150-200 SAR (Fastest!). 2. **Private Taxi**: Approx 400-600 SAR. 3. **Bus**: Around 60-100 SAR. *Tafaddal*, which one do you prefer?",2026-05-20T20:07:17.891578,data/results_tts/res_2301_audio3.wav,Can you help aku arrange transport dari Jeddah ke Madinah tomorrow,0.6364,0.4697
A,2301_audio4.wav,Explain step by step cara apply visa Saudi dengan benar,"*Bismillah*, here is the simple guide to apply for your Saudi Visa: 1. **Prepare Documents**: Siapkan *passport* (valid min. 6 months) and a digital photo. 2. **Choose Visa Type**: Pilih *Tourist e-Visa* for the fastest process *biidznillah*, or Umrah Visa via agent. 3. **Online Application**: Visit `ksavisa.sa`, create an account, and fill in your data *dengan teliti*. 4. **Payment**: Pay the fee via credit card/online payment. 5. **Approval**: Wait for the e-visa to arrive in your email. *Alhamdulillah*, print it out and you're ready to go! *Barakallahu feek!*",2026-05-20T20:08:03.335141,data/results_tts/res_2301_audio4.wav,Explain step by step cara apply visa Saudi dengan benar,0.0,0.0
A,2301_audio5.wav,"Ya akhirnya, uri dukung slide ilah jidah alus buan kadim Hal bisa bantu ajida afdal schedule bari halitin mubashiro","Alhamdulillah, finally! I can definitely help you arrange the *afdal* schedule. *Tafaddal*, please share your dates and duration, biar we can make it *mubashiro*!",2026-05-20T20:09:37.952201,data/results_tts/res_2301_audio5.wav,"Ya akhi, uridu book flight ila Jeddah al-usbu'al qadim. Hal bisa bantu ajida afdhal schedule wa rihlatan mubashirah?",0.7222,0.2845
A,2301_audio6.wav,Uri Du Orange Transport Minjida Ile Madina Gokodan,"Oke, you want Orange Transport *min* Jeddah *ila* Madinah ya? *InshaAllah*, I'll help you. *Sabar ya!*",2026-05-20T20:10:28.143875,data/results_tts/res_2301_audio6.wav,Uridu arrange transport min Jeddah ila Madinah ghadan,1.0,0.2264
A,2302_audio01.wav,Aku mau buk flight kejada minggu depan bisa bantu schedule.,"Ahlan! Sure, let's fix your flight schedule to Jeddah. InshaAllah, kirim preferred date-nya ya. Syukran!",2026-05-20T20:10:53.395866,data/results_tts/res_2302_audio01.wav,"Aku mau book flight ke Jeddah minggu depan, bisa bantu schedule?",0.4545,0.125
A,2302_audio02.wav,Aku butuh transfer umrah simpal tapi inklet Madina visit,"Ahlan! Siap, I can arrange a simple package include Madinah visit. InsyaAllah, everything will be *mudah*. Please share your details, ya!",2026-05-20T20:11:17.932550,data/results_tts/res_2302_audio02.wav,Aku butuh travel umrah simple tapi include Madinah visit,0.4444,0.1964
A,2302_audio03.wav,Can you help aku arrange transport dari Jeddah ke Medina tomorrow?,"Bisa banget! I can help you arrange it. Mau Haramain Train or private taxi? Tafaddal, let me know your preference!",2026-05-20T20:11:34.299266,data/results_tts/res_2302_audio03.wav,Can you help aku arrange transport dari Jeddah ke Madinah tomorrow,0.1818,0.0455
A,2302_audio04.wav,Expand step by step cara apply visa Saudi dengan benar.,"*Ahlan!* Let's start, *Bismillah*: 1. **Prepare Docs**: Passport valid min. 6 months & digital photo. 2. **Visit Portal**: Go to `visitsaudi.com` or `nusuk.sa`. *Tafadhal* access site-nya. 3. **Fill Info**: Input personal data & upload docs. *Harap teliti*! 4. **Payment**: Pay visa fee via credit card/online payment. *Sahl* (easy)! 5. **Get Visa**: Wait for approval then download PDF. *Alhamdulillah* done! *Safe travels, Fi Amanillah!* 🕋✈️",2026-05-20T20:12:08.152903,data/results_tts/res_2302_audio04.wav,Explain step by step cara apply visa Saudi dengan benar,0.2,0.0727
A,2302_audio05.wav,"Ya akhirnya, Uridubuk Flight Ila Jeda Al-Ushbu Al-Khadim hal bila bantu Ajida Afdala Schedul Wari Halatan Mubasirah.","Mashallah, I got you! Tolong share departure city and exact date-nya ya, so I can find the afdal direct flight schedule to Jeddah. Syukran! ✈️",2026-05-20T20:12:31.435307,data/results_tts/res_2302_audio05.wav,"Ya akhi, uridu book flight ila Jeddah al-usbu'al qadim. Hal bisa bantu ajida afdhal schedule wa rihlatan mubashirah?",0.6667,0.2069
A,2302_audio06.wav,Uridu orange transport minjida ilam badina hadan,"Siap! I'll book Orange Transport ila Madinah right now. Sabran, wait a moment ya! 🚕✨",2026-05-20T20:12:42.943602,data/results_tts/res_2302_audio06.wav,Uridu arrange transport min Jeddah ila Madinah ghadan,0.75,0.1887
A,2302_audio11.wav,Kenapa fasting di rambadan itu wajib pagi muslim?,"Because it's *fardhu* (obligatory) based on Allah's command. Tujuannya is to achieve *taqwa* and purify our soul. So, it's a form of *ibadah* to get closer to Allah SWT.",2026-05-20T20:13:02.200187,data/results_tts/res_2302_audio11.wav,Kenapa fasting di Ramadan itu wajib bagi muslim,0.375,0.0638
A,2302_audio14.wav,How to prepare dokumen umroh dari Indonesia dengan benar,"Prepare docs carefully, ya. Wajib valid passport minimal 6 months and visa umrah. InshaAllah everything will be smooth.",2026-05-20T20:13:11.648322,data/results_tts/res_2302_audio14.wav,How to prepare dokumen umrah dari Indonesia dengan benar,0.1111,0.0179
A,2302_audio15.wav,Tolong buat checklist persiapan umrah termasuk barang wajib di bawah.,"Ready, *ya akhi/ukhti*! Here is your brief Umrah checklist: **1. Documents (Wajib!):** * Passport & Visa. * Vaccine certificate. * Ticket & Hotel voucher. **2. Clothing (*Labas*):** * Ihram set (for men) / Mukena & modest clothes (for women). * Comfortable walking shoes & sandals. * Undergarments & socks. **3. Health & Toiletries (*Ash-Shifa*):** * Personal medicines & vitamins. * Unscented soap/deodorant (for Ihram). * Skincare & sunscreen. **4. Spiritual Tools:** * Small Quran or Du'a book. * Travel prayer mat (*sajadah*). * Tasbih. **5. Electronics & Finance:** * Universal adapter & Powerbank. * Local SIM card/Roaming. * Cash (Saudi Riyal) & Credit Card. *Fi amanillah* for your journey! 🕋✨",2026-05-20T20:13:43.063913,data/results_tts/res_2302_audio15.wav,Tolong buat checklist persiapan umrah termasuk barang wajib dibawa,0.2222,0.0455
A,2302_audio17.wav,"Menurut kamu, belajar bahasa Arab itu susah ga untuk pemula","Nggak kok, *it's not that hard* kalau niatnya kuat. *Bi-idhnillah*, asal konsisten, *it will be easy* (sahl). Semangat ya! 🕋✨",2026-05-20T20:13:59.145808,data/results_tts/res_2302_audio17.wav,Menurut kamu belajar bahasa Arab itu susah gak untuk pemula,0.2,0.0339
A,2303_audio01.wav,aku mau book flight ke jada minggu depan misalnya bantu schedule,Ahlan! I can help you. Mau berangkat from where and exactly tanggal berapa? InshaAllah we'll find the best flight for your journey.,2026-05-20T20:14:16.543988,data/results_tts/res_2303_audio01.wav,"Aku mau book flight ke Jeddah minggu depan, bisa bantu schedule?",0.3636,0.1562
A,2303_audio02.wav,"Aku butuh travel umrah simple, tapi include Madina Visit","Ahlan! I got you. Kita cari *basic package* yang include Ziyarah Madinah. InshaAllah, *mubarak* and simple! 🕋✨",2026-05-20T20:14:35.748457,data/results_tts/res_2303_audio02.wav,Aku butuh travel umrah simple tapi include Madinah visit,0.2222,0.0357
A,2303_audio03.wav,Bagaimana bisa membantu orang-orang yang mampu dari Jeddah ke Madina Jumaro?,"Na'am, I can help you arrange transport to Madinah tomorrow. InshaAllah everything will be easy and fast for you.",2026-05-20T20:14:49.395346,data/results_tts/res_2303_audio03.wav,Can you help aku arrange transport dari Jeddah ke Madinah tomorrow,0.7273,0.5909
A,2303_audio04.wav,explain step by step cara apply visa Saudi dengan benar,Ahlan! Here are the simple steps *bi-idhnillah*: 1. **Passport Check**: Ensure validity is min. 6 months. *Mumtaz!* 2. **Visit Portal**: Go to official KSA Visa or Nusuk website. 3. **Fill Data**: Input your personal details. *Yalla!* 4. **Upload Docs**: Upload photo and passport scan. 5. **Payment**: Pay the visa fee via credit card/online. 6. **Get E-Visa**: Wait for the confirmation email. *Alhamdulillah!*,2026-05-20T20:15:13.153471,data/results_tts/res_2303_audio04.wav,Explain step by step cara apply visa Saudi dengan benar,0.0,0.0
A,2303_audio05.wav,"Ya Achi, Uri du Book Friday, ilah jadah al Usbu Al Kadim, hal bisa bantu Ajida Afdol schedule Warih Latan Mubashira.","Na'am, I can help! I'll find the afdol schedule for next Friday. Share departure city-nya ya, so I can check flight mubashira-nya. Jazakallah!",2026-05-20T20:15:41.308208,data/results_tts/res_2303_audio05.wav,"Ya akhi, uridu book flight ila Jeddah al-usbu'al qadim. Hal bisa bantu ajida afdhal schedule wa rihlatan mubashirah?",0.7778,0.1724
A,2303_audio06.wav,Urdu Orange Transport Minje Dah ilah Madina Khadan,Noted! Safe trip to Madinah with Orange Transport tomorrow. *Fi amanillah* ya! 🚌✨,2026-05-20T20:16:01.236029,data/results_tts/res_2303_audio06.wav,Uridu arrange transport min Jeddah ila Madinah ghadan,0.875,0.1509
A,2303_audio07.wav,Book flight ke Jeddah lalu lanjut ke Madina. Schedul terbaik kapan?,"Ahlan! Recommended *off-peak season* (Oct-Nov). Cuaca cool, crowd-nya less. InshaAllah smooth. Mau check *available dates*?",2026-05-20T20:16:21.276070,data/results_tts/res_2303_audio07.wav,"Book flight ke Jeddah lalu lanjut ke Madinah, schedule terbaik kapan",0.2727,0.0588
A,2303_audio13.wav,jelaskan step by step cara booking flight kejada secara online,"Ini step-by-step booking flight ke Jeddah, *ya akhi/ukhti*: 1. **Pick platform**: Gunakan OTA (Traveloka/Tiket.com) atau official airline website. 2. **Search flight**: Input origin $\rightarrow$ Jeddah (JED). *Insya Allah* dapet best price. 3. **Select date & flight**: Pilih jadwal yang paling comfortable, *tawakkal* pilih yang sesuai budget. 4. **Fill details**: Input data passenger sesuai passport, *harus teliti* ya! 5. **Payment**: Complete the payment, *bismillah* lancar. 6. **E-ticket**: Download your e-ticket. *Alhamdulillah*, done!",2026-05-20T20:16:52.118522,data/results_tts/res_2303_audio13.wav,Jelaskan step by step cara booking flight ke Jeddah secara online,0.1818,0.0615
A,2303_audio15.wav,tolong buat checklist persiapan umrah termasuk barang wajib di bawah,"Here is your checklist, *ya akhi/ukhti*. *Tafaddal*! **1. Documents (Al-Waraqah) 📄** * Passport & Visa (must be valid). * Vaccine certificate. * Flight tickets & Hotel vouchers. * Passport-size photos. **2. Clothing (Al-Malabis) 👕** * **Mandatory:** Kain Ihram (men) / Mukena & Syar'i clothes (women). * Comfortable walking shoes & sandals. * Undergarments (disposable ones are recommended). * Warm clothes/jacket (if it's winter). **3. Health & Hygiene (As-Sihhah) 💊** * Personal medications & Vitamins. * Unscented soap/deodorant (for *Ihram* state). * Mask & Hand sanitizer. * Lip balm & Moisturizer (to avoid dry skin). **4. Essentials (Al-Asasiyyat) 🔌** * Saudi Riyal (Cash) & Debit card. * Universal adapter & Powerbank. * Local SIM card or Roaming package. * Small prayer mat & Digital tasbih. Prepare your heart, *niyah* yang ikhlas. *Fi Amanillah* and may you have an *Umrah Maqbulah*! 🕋✨",2026-05-20T20:17:31.432461,data/results_tts/res_2303_audio15.wav,Tolong buat checklist persiapan umrah termasuk barang wajib dibawa,0.2222,0.0303
A,2303_audio19.wav,"Ahianan, saya bingung mulai dari mana untuk umrah.","*La taqlaq!* Bismillah, let's start with your *passport* and *budgeting* dulu. Ready?",2026-05-20T20:17:48.702163,data/results_tts/res_2303_audio19.wav,Ahyanan saya bingung mulai dari mana untuk umrah,0.25,0.0625
A,2304_audio01.wav,Aku mau book flight kejada minggu depan. Bisa bantu schedule?,"Ahlan! Sure, bisa. Please share your preferred date & time, InshaAllah I'll help you schedule.",2026-05-20T20:18:11.886081,data/results_tts/res_2304_audio01.wav,"Aku mau book flight ke Jeddah minggu depan, bisa bantu schedule?",0.2727,0.0781
A,2304_audio02.wav,Aku butuh travel umrah simpel tapi inklud madina visit,"Ahlan! I got you. Mau budget-friendly package yang inclusive of Madinah visit, ya? InshaAllah, I'll find some options. Kapan plan-nya?",2026-05-20T20:18:31.163596,data/results_tts/res_2304_audio02.wav,Aku butuh travel umrah simple tapi include Madinah visit,0.3333,0.0893
A,2304_audio03.wav,Can you help aku arrange transport dari Jeddah ke Madina tomorrow?,"Na'am, akid! I can help you. Kamu mau Haramain High Speed Railway or private car? Let me know the details, ya!",2026-05-20T20:18:54.591380,data/results_tts/res_2304_audio03.wav,Can you help aku arrange transport dari Jeddah ke Madinah tomorrow,0.1818,0.0303
A,2304_audio04.wav,Explain step by step cara apply visa Saudi dengan benar.,"*Ahlan wa Sahlan!* Here is the simple guide for your Saudi Visa: 1. **Preparation:** Siapkan passport (valid min. 6 months), digital photo, and credit card for payment. 2. **Platform:** Visit the official website `ksavisa.sa` or `visitsaudi.com`. *Tawakkal* to official sites only! 3. **Application:** Create an account and fill in your personal details. *Jangan sampai typo*, ya! 4. **Payment:** Pay the visa fee online. Once *tamam* (done), wait for the process. 5. **Approval:** Check your email. Download and print your e-visa. *Alhamdulillah*, you're ready to go! *Fi Amanillah!* 🕋✈️",2026-05-20T20:19:17.515227,data/results_tts/res_2304_audio04.wav,Explain step by step cara apply visa Saudi dengan benar,0.1,0.0182
A,2304_audio05.wav,"Ya, Akhi, Uri Dubuk Flight Ila Jedah al-Ustbu al-Qadim. Hal bisa bantu Ajeda of the schedule warih latanmu Basirah.","Ahlan, Akhi! Tentu, I can help you arrange the schedule. Tafaddal, share your preferred dates and budget, biar saya bantu make it easy. InshaAllah, everything will be smooth!",2026-05-20T20:19:26.251476,data/results_tts/res_2304_audio05.wav,"Ya akhi, uridu book flight ila Jeddah al-usbu'al qadim. Hal bisa bantu ajida afdhal schedule wa rihlatan mubashirah?",0.6667,0.181
A,2304_audio06.wav,Uridu Rengstransport Minceda Ilama Dina Khoden,"Ahlan! You need transport *ila* Madinah hotel, ya? Please share the date and number of pax. *Tafaddal*!",2026-05-20T20:19:41.678738,data/results_tts/res_2304_audio06.wav,Uridu arrange transport min Jeddah ila Madinah ghadan,0.875,0.283
A,2304_audio07.wav,"Book flight ke Jeddah lanjut ke Madina, schedule terbaik kapan?","Ahlan! Depends on your preference. Best price? Go during off-peak season (post-Hajj). Spiritual vibe? Ramadan is the best, InshaAllah. Check dates now for the best deal!",2026-05-20T20:19:50.327904,data/results_tts/res_2304_audio07.wav,"Book flight ke Jeddah lalu lanjut ke Madinah, schedule terbaik kapan",0.2727,0.1029
A,2304_audio11.wav,Kenapa fasting di romadon itu wajib bagi muslim?,Because it's *Faridah* (obligatory) based on the Quran. Tujuannya to achieve *Taqwa* and purify our soul. *Ibadah* yang super important for every Muslim! 🌙✨,2026-05-20T20:20:07.756867,data/results_tts/res_2304_audio11.wav,Kenapa fasting di Ramadan itu wajib bagi muslim,0.25,0.0638
A,2304_audio15.wav,Tolong buat checklist persiapan umrah termasuk barang nguajib di bawah,"Siap! Here is your Umrah Checklist, *InshaAllah* helpful ya:  📄 **Documents (Wajib!)** * Passport & Visa. * Vaccination certificate. * Ticket & Hotel voucher.  👕 **Clothing & Wearables** * Ihram (for men) / Abaya & Mukena (for women). * Comfortable walking shoes/sandals for Tawaf & Sa'i. * Undergarments & socks. * Jacket/Sweater (especially if it's winter).  💊 **Health & Personal Care** * Personal medications (obat pribadi). * Sunscreen & Lip balm. * Toothbrush, toothpaste, & toiletries. * Masker & Hand sanitizer.  🔌 **Electronics** * Powerbank & Universal adapter. * Smartphone & Local SIM card/Roaming.  📖 **Spiritual Gear** * Small Al-Quran or Dua book. * Travel prayer mat (sajadah travel).  Safe travels, semoga *Umrah Maqbula* & *Mabrur*! ✨",2026-05-20T20:20:14.734551,data/results_tts/res_2304_audio15.wav,Tolong buat checklist persiapan umrah termasuk barang wajib dibawa,0.3333,0.0758
A,2304_audio18.wav,I feel overwhelmed dengan persiapan umroh. Ada tipsi derhana?,"*Chill, ya akhi/ukhti*. Just *bismillah* and take it one step at a time.  Tips simple: 1. **Make a checklist** for documents & luggage biar nggak *miss*. 2. **Focus on niyat** and read a basic guide. 3. **Tawakkal**, everything will be fine *inshaAllah*.  *La tahzan*, you got this! 🕋✨",2026-05-20T20:20:33.191178,data/results_tts/res_2304_audio18.wav,"I feel overwhelmed dengan persiapan umrah, ada tips sederhana?",0.3333,0.0806
A,2306_Audio01.wav,"Aku mau buk fly kejadian minggu depan, bisa bentar schedule?","Sure, bisa! Na'am, let's check the flight schedule for next week. Tafaddal, kirim detailnya ya!",2026-05-20T20:21:00.332786,data/results_tts/res_2306_Audio01.wav,"Aku mau book flight ke Jeddah minggu depan, bisa bantu schedule?",0.4545,0.2031
A,2306_Audio02.wav,Aku butuh travel umbar simpel tapi inklud madina visit,"Siap, *I got you!* Ada beberapa *simple packages* yang sudah *include* ziarah Madinah. *Insha Allah* cocok.  Mau *budget* berapa or kapan *plan*-nya?",2026-05-20T20:21:27.642577,data/results_tts/res_2306_Audio02.wav,Aku butuh travel umrah simple tapi include Madinah visit,0.4444,0.125
A,2306_Audio03.wav,Can you help aku ores transport dari Jadah ke Madina tomorrow?,"Of course! Mau pakai kereta cepat Haramain or private taxi? Let me know your preference, InshaAllah safe trip.",2026-05-20T20:21:54.993296,data/results_tts/res_2306_Audio03.wav,Can you help aku arrange transport dari Jeddah ke Madinah tomorrow,0.3636,0.1515
A,2306_Audio04.wav,Exfoli step-by-step cara apply visa saudi dengan benar,"Ahlan wa sahlan! Here is the step-by-step for your *Tashirah* (visa):  1. **Prepare Docs**: Passport (valid min. 6 months) & photo background putih. 2. **Pick Visa Type**: Choose e-Visa (Tourist) or Umrah Visa via approved agent. 3. **Fill Form**: Input your data in the official portal. *Hati-hati*, make sure no typos! 4. **Payment**: Pay the visa fee via credit card or bank transfer. 5. **Print**: Once approved, download and print your visa.   *Alhamdulillah*, you're ready to go! 🕋✈️",2026-05-20T20:22:02.498213,data/results_tts/res_2306_Audio04.wav,Explain step by step cara apply visa Saudi dengan benar,0.4,0.1091
A,2306_Audio05.wav,"Yakay uridu, produk yang tak script, Ruth, musgrup. Hal mGGg di bantu kalian brill padel skala, lari latak gebe usia lah.","Ahlan wa sahlan! I can help you with the group package. Tafadhal, please share detail-nya & range usia-nya. I'll check it for you, ya!",2026-05-20T20:23:14.699597,data/results_tts/res_2306_Audio05.wav,"Ya akhi, uridu book flight ila Jeddah al-usbu'al qadim. Hal bisa bantu ajida afdhal schedule wa rihlatan mubashirah?",1.1111,0.6897
A,2306_Audio06.wav,Work Audio,"Looking for audio guide for your *ibadah*? *Tafaddal*, I can help. Mau *dua* atau *tutorial* audio?",2026-05-20T20:24:02.096045,data/results_tts/res_2306_Audio06.wav,Uridu arrange transport min Jeddah ila Madinah ghadan,1.0,0.8868
A,2306_Audio11.wav,Kenapa fasting di Ramadan itu wajib beri muslim?,"Because it's a *faridah* (obligatory) command from Allah, ya. Tujuannya supaya we can achieve *taqwa* and feel empathy for those in need. *InshaAllah*, it purifies our soul.",2026-05-20T20:24:26.441979,data/results_tts/res_2306_Audio11.wav,Kenapa fasting di Ramadan itu wajib bagi muslim,0.25,0.0638
A,2306_Audio12.wav,bagaimana proses visa saya berdua untuk umrah dari Indonesia sekarang,"Bismillah, process-nya now is very easy. Bisa apply *E-Visa* secara online or via *travel agent* untuk Umrah Visa. Just prepare your passport & photo. *Barakallahu feekum!*",2026-05-20T20:24:33.654732,data/results_tts/res_2306_Audio12.wav,Bagaimana proses visa Saudi untuk umrah dari Indonesia sekarang,0.2222,0.127
